ts_code,ann_date,end_date,holder_name,hold_amount,hold_ratio,hold_float_ratio,hold_change,holder_type
688081.SH,20250430,20250331,上海磐耀资产管理有限公司-磐耀新力量私募证券投资基金,2427677.0,2.356,2.3561,761512.0,其他金融产品
688081.SH,20250430,20250331,虞玉明,870412.0,0.8447,0.8447,0.0,自然人
836084.BJ,20250430,20250331,张仁福,1150000.0,0.9696,0.9696,-102183.0,自然人
836084.BJ,20250430,20250331,罗彬,1166267.0,0.9833,0.9833,,自然人
836084.BJ,20250430,20250331,中新苏州工业园区创业投资有限公司,5622195.0,4.7403,4.7404,0.0,风险投资公司
836084.BJ,20250430,20250331,林涛,4497377.0,3.7919,3.792,0.0,自然人
836084.BJ,20250430,20250331,虞玉明,1532095.0,1.2917,1.2918,0.0,自然人
836084.BJ,20250430,20250331,朱振友,21663123.0,18.2654,18.2654,0.0,自然人
836084.BJ,20250430,20250331,吕绍文,867816.0,0.7317,0.7317,,自然人
688252.SH,20250430,20250331,共青城盛红投资合伙企业(有限合伙),1279808.0,0.3128,0.7019,-252254.0,投资公司
834229.BJ,20250429,20250331,中国银行股份有限公司-华宝中证医疗交易型开放式指数证券投资基金,3555105.0,1.8925,1.8925,513579.0,开放式投资基金
688252.SH,20250430,20250331,交通银行股份有限公司-工银瑞信新兴制造混合型证券投资基金,1182116.0,0.289,0.6483,110886.0,开放式投资基金
834229.BJ,20250429,20250331,中国农业银行股份有限公司-工银瑞信创新动力股票型证券投资基金,2370000.0,1.2616,1.2617,0.0,开放式投资基金
834229.BJ,20250429,20250331,南京新微创企业管理咨询有限公司,36766614.0,19.5725,19.5726,0.0,投资公司
834229.BJ,20250429,20250331,施罗德投资管理(香港)有限公司-施罗德环球基金系列中国A股(交易所),5600793.0,2.9815,2.9816,-222841.0,其他金融产品
688252.SH,20250430,20250331,RichredLP,4554572.0,1.1135,2.4979,-1927687.0,一般企业
688252.SH,20250430,20250331,大家人寿保险股份有限公司-万能产品,1521000.0,0.3718,0.8342,,保险投资组合
688252.SH,20250430,20250331,CorichLP,24550004.0,6.0021,13.4639,-3847031.0,一般企业
688252.SH,20250430,20250331,宁波群志光电有限公司,30599775.0,7.4812,16.7818,0.0,一般企业
834229.BJ,20250429,20250331,深圳市中科招商创业投资有限公司,41752818.0,22.2269,22.227,0.0,风险投资公司
834229.BJ,20250429,20250331,全国社保基金一一三组合,3138033.0,1.6705,1.6705,-520248.0,社保基金、社保机构
688252.SH,20250430,20250331,香港中央结算有限公司,2892954.0,0.7072,1.5866,939766.0,一般企业
834229.BJ,20250429,20250331,全国社保基金四一三组合,3885459.0,2.0684,2.0684,210000.0,社保基金、社保机构
688252.SH,20250430,20250331,上海摩勤智能技术有限公司,5643242.0,1.3796,3.0949,0.0,一般企业
834229.BJ,20250429,20250331,HuakangLimited,4443335.0,2.3653,2.3654,-4949037.0,一般企业
688576.SH,20250429,20250331,苏州金阖二期股权投资合伙企业(有限合伙),1484649.0,3.1926,6.6418,-52847.0,风险投资公司
688576.SH,20250429,20250331,上海鸿富私募基金管理有限公司-福建宜德股权投资合伙企业(有限合伙),350678.0,0.7541,1.5688,-200.0,风险投资公司
688543.SH,20250429,20250331,国家军民融合产业投资基金有限责任公司,3360000.0,1.9123,3.8072,0.0,风险投资公司
688543.SH,20250429,20250331,中兵顺景股权投资管理有限公司-中兵国调(厦门)股权投资基金合伙企业(有限合伙),1482985.0,0.844,1.6804,-1757015.0,风险投资公司
